url_id,index,lecture_name,professor_name,rate,semester,like,text
1703314,0,서양철학：쟁점과토론,이석배,80.0,21,0,"조별 과제가 많으며, 조원 잘못 만나면 그냥 망하는거임,,, 대신에 다 적극적이고 괜찮게 하는 팀원들 만나면 수월하게 역할 분담해서 잘 해낼 수 있음. 매주 실강 + 녹강 + 퀴즈 + 약 2주마다의 감상문 2개로 전공보다 빡신 교양입니다. 전 개인적으로 철학에 대해 더 깊게 배웠다고는 생각 안하지만, 그래도 하라는 것들은 다 완수해서 A+ 맞았습니다. 생각보다 교수님도 점수를 잘 주셔서 좋았습니다. 낙담하지말고 열심히 하라는 것들만 하면 좋은 점수 받을 수 있는 과목입니다."
1703314,1,서양철학：쟁점과토론,이석배,80.0,21,0,열심히 들으면 학점 잘 받을 수 있는 과목인생의 마지막 철학공부를 한다는 생각으로 들으면 좋 음
1703314,2,서양철학：쟁점과토론,이석배,100.0,21,0,정말 너~~~~무 힘들었지만 학점을 보고 나니 기억미화
1703314,3,서양철학：쟁점과토론,이석배,60.0,21,0,일괄이라 듣긴 했지만 정말 듣기 힘들고 팀플이 너무 많고 힘들었음 학점은 굉장히 잘 주셔서 기억미화 됨
1703314,4,서양철학：쟁점과토론,이석배,100.0,21,0,처음엔 어려워보였는데 다 하고 나니 생각보다 얻은게 많았음 퀴즈 점수 망해도 조별 토론 잘하면 학점 잘 받을 수 있음 교수님 은근 재밌으시고 팀원 잘만나는게 중요한듯..
1703314,5,서양철학：쟁점과토론,이석배,100.0,21,0,팀플 중점으로 돌아가고 거의 매주마다 일정 책 분량 시간제한두고 레포트 써야 하는게 있었음. 시간제한 있는게 힘들긴 했지만 열심히만 하면 점수 잘 주시는듯 고전인증시험 2번 있는데 난이도 보통이였음. 책 자체는 어려워서 고생많이 했고 팀플 피드백 냉철하게 해주심. 조원들 잘 못 만나서 고생했지만 결국은 학점을 잘주셔서 만족한다 (팀플 발표는 총 세번 있었음)
1703314,6,서양철학：쟁점과토론,이석배,60.0,21,0,"시험은 안보지만, 정말 에바치게 조모임과 과제가 많다. 체감 6학점이다. 하지만 이건 서철 듣는 모든 학생들에게 해당되는 거라 어쩔 수 없음. 이 교수님은 분량을 많이 중시하셔서 뭐든지 꾹꾹 눌러담아서 최대한 많이 써야함. 내용이 어려워서 힘들 수도 있는데 그 노력하는 것을 교수님이 알아봐주시는거 같아서 결과적으로도 좋았음."
1703314,7,서양철학：쟁점과토론,이석배,100.0,21,0,서철이 힘든 과목이란 것만 감안하면 열심히 한 만큼 좋은 결과가 나옵니다. 교수님께서도 학생들이 어려워하고 잘못 짚을 수도 있다는 점을 감안하고 계셔서 발표 내용 중 오류가 있다면 정중한 피드백을 받을 수 있습니다.
1703314,8,서양철학：쟁점과토론,이석배,100.0,21,0,"팀플, 발표과제 많고 개인 과제도 많아요. 팀운 좋으면 과제도 수월하게 할 수 있어요! 어려운 고전 책을 읽어야 하고 매 시간 내에 해야 하는 즉석 글쓰기 과제도 있어서 부담스럽긴 하지만 얻어갈 점이 많았어요. 혼자 읽으면 뭔 말인지도 모르겠고 중간에 포기했을 거 같은 고전 책을 같이 읽고 토론하고 피드백 받으면서 심도있게 이해할 수 있었어요. 게다가 교과연계로 고전독서인증까지 가능하니까 좋아요!! 중간기말이 없어서 다행이지만 그만큼 과제가 정말 많다는 점..! 과제 미루지 말고 꼬박꼬박 성실하게 제출하면 A+ 쉽게 받을 수 있어요."
1703314,9,서양철학：쟁점과토론,이석배,100.0,21,0,"서철이란 과목 자체가 팀플,과제가 많은 것이기 때문에 힘든 건 어느 교수님이나 똑같습니다. 한 학기동안 팀플 때문에 고생했는데 팀보다는 개인이 열심히 하면 학점 잘 주시는 것 같고 후하게 주시는 편입니다. 그러니 팀플로 너무 맘고생하지마시길.. 교수님 피드백도 빠르고 좋으신 분이라 걱정 안하셔도 될 것 같습니다."
1703314,10,서양철학：쟁점과토론,이석배,100.0,21,0,과제 많고 팀플 많고 신경이 많이쓰이지만 교수님께서 피드백도 잘 해주시고 무엇보다 성의만 보이면 학점 잘 주십니다
1703314,11,서양철학：쟁점과토론,이석배,100.0,21,0,갓석배 킹석배 딱 한학기만 꼭 참고 버티면 학점 다 잘주시는듯 짱짱!!!!!
